grid_id,grid_size,density,instance_id,reasoning_effort,transform_type,trajectory_category,collect_mode,start_to_coin1_distance,start_to_coin2_distance,coin1_to_coin2_distance,coin2_to_coin1_distance,coin1_to_goal_distance,coin2_to_goal_distance,optimal_total_distance,coin1_reachable_from_start,coin2_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin1,goal_reachable_from_coin2,num_trajectories,num_trajectories_0_coins,num_trajectories_1_coin,num_trajectories_2_coins,mean_coins_collected,success_rate,mean_trajectory_length,mean_action_accuracy,mean_action_accuracy_phase1,mean_action_accuracy_phase2,mean_action_accuracy_phase3,spl,mean_entropy,mean_optimal_entropy,mean_jsd,ece,mean_step_accuracy,total_steps,mean_actions_up,mean_actions_down,mean_actions_left,mean_actions_right,mean_steps_front,mean_steps_left_turn,mean_steps_right_turn,mean_steps_back,mean_cell_revisits,mean_immediate_revisits,mean_coin_oscillations,mean_invalid_actions
collect_one_size11_comp0.0_grid0_base_low,11,0.0,0,low,base,base,collect_one,9,12,9,9,8,5,17,1,1,1,1,1,10,1,3,6,1.5,0.2,52.8,0.4678030303030303,0.7207792207792207,0.36363636363636365,0.0,0.1015993265993266,0.8392987451072503,0.8064516129032258,0.5124616487322704,0.17770409083157593,0.4678030303030303,528,14.9,21.3,5.6,10.2,21.0,10.0,9.7,9.6,28.1,7.7,0.9,13.6
collect_one_size11_comp0.0_grid1_base_low,11,0.0,1,low,base,base,collect_one,8,6,10,10,7,3,9,1,1,1,1,1,10,6,3,1,0.5,0.1,55.4,0.22382671480144403,0.19290465631929046,0.3592233009708738,0.0,0.01764705882352941,0.7375242368435639,0.7021276595744681,0.601480732626276,0.23042457840070701,0.22382671480144403,554,10.5,4.3,35.0,5.5,29.1,10.2,9.9,5.0,42.2,3.2,0.2,33.8
collect_one_size11_comp0.0_grid2_base_low,11,0.0,2,low,base,base,collect_one,9,4,5,5,9,4,8,1,1,1,1,1,10,0,0,10,2.0,0.8,40.6,0.5665024630541872,0.7763157894736842,0.5181818181818182,0.0,0.1935433717275959,1.1572926703354303,0.765625,0.32655305629707454,0.08170418990731489,0.5665024630541872,406,12.0,10.6,5.0,13.0,13.4,8.6,9.9,7.7,17.2,7.1,0.8,2.8
collect_one_size11_comp0.0_grid3_base_low,11,0.0,3,low,base,base,collect_one,9,6,7,7,12,9,15,1,1,1,1,1,10,0,3,7,1.7,0.7,46.7,0.6102783725910065,0.782608695652174,0.5539772727272727,0.0,0.26809940657822556,0.9263313416942867,0.8059701492537313,0.46472740896486625,0.12023075525671241,0.6102783725910065,467,16.6,10.3,8.4,11.3,14.9,11.4,11.2,8.0,17.0,7.1,1.2,4.4
collect_one_size11_comp0.0_grid4_base_low,11,0.0,4,low,base,base,collect_one,4,4,6,6,9,3,7,1,1,1,1,1,10,6,1,3,0.7,0.1,60.5,0.4132231404958678,0.3896353166986564,0.5595238095238095,0.0,0.02413793103448276,0.9834938556941107,0.7727272727272727,0.4605331288393955,0.2165041266496085,0.4132231404958678,605,22.4,10.5,13.5,14.1,16.2,13.1,15.2,15.0,44.4,13.4,0.3,12.7
collect_one_size11_comp0.0_grid5_base_low,11,0.0,5,low,base,base,collect_one,7,11,8,8,4,8,11,1,1,1,1,1,10,8,0,2,0.4,0.0,28.1,0.5231316725978647,0.5495495495495496,0.423728813559322,0.0,0.0,0.8468488648167241,0.8837209302325582,0.5721703962136891,0.12159334171811173,0.5231316725978647,281,8.1,6.3,6.2,7.5,7.6,5.7,7.4,6.4,15.8,5.8,0.2,1.7
collect_one_size11_comp0.0_grid6_base_low,11,0.0,6,low,base,base,collect_one,3,5,8,8,10,10,13,1,1,1,1,1,10,0,7,3,1.3,0.2,63.3,0.4960505529225908,0.65625,0.46741154562383613,0.0,0.04311951754385965,1.1680977634825431,0.8823529411764706,0.4829255760076001,0.20163433929191218,0.4960505529225908,633,19.2,17.2,14.2,12.4,16.1,13.0,12.7,19.9,43.4,18.4,5.0,5.5
collect_one_size11_comp0.0_grid7_base_low,11,0.0,7,low,base,base,collect_one,3,4,3,3,10,7,11,1,1,1,1,1,10,2,3,5,1.3,0.5,51.9,0.535645472061657,0.5056818181818182,0.5510204081632653,0.0,0.1582160752949494,1.1701833021010783,0.7592592592592593,0.37100288849010554,0.1776500255286198,0.535645472061657,519,18.5,14.2,6.7,12.5,12.3,10.9,13.0,14.7,29.9,14.0,4.3,2.4
collect_one_size11_comp0.0_grid8_base_low,11,0.0,8,low,base,base,collect_one,7,4,7,7,9,6,10,1,1,1,1,1,10,2,6,2,1.0,0.6,47.1,0.5307855626326964,0.4870848708487085,0.59,0.0,0.22100713670481112,1.2082165052234302,0.7916666666666666,0.3960871917457218,0.09046586256506839,0.5307855626326964,471,11.2,11.3,11.6,12.9,13.0,10.8,11.6,10.5,24.4,9.9,1.1,4.6
collect_one_size11_comp0.0_grid9_base_low,11,0.0,9,low,base,base,collect_one,14,10,4,4,6,4,14,1,1,1,1,1,10,6,1,3,0.7,0.0,64.0,0.5171875,0.5415162454873647,0.36046511627906974,0.0,0.0,1.0368182911911228,0.8214285714285714,0.49721188970266145,0.15742167030729282,0.5171875,640,18.4,21.3,8.6,15.6,18.5,11.4,12.2,20.7,39.3,19.3,0.7,3.8
collect_one_size11_comp0.2_grid0_base_low,11,0.2,0,low,base,base,collect_one,8,8,4,4,12,8,16,1,1,1,1,1,10,2,2,6,1.4,0.0,64.0,0.48125,0.6013745704467354,0.38108882521489973,0.0,0.0,1.1355688462985676,0.6808510638297872,0.4705512299833743,0.13224174610436804,0.48125,640,16.8,22.3,12.1,12.8,16.0,14.5,14.4,18.1,42.6,16.5,8.1,7.7
collect_one_size11_comp0.2_grid1_base_low,11,0.2,1,low,base,base,collect_one,7,8,5,5,7,12,14,1,1,1,1,1,10,0,3,7,1.7,0.4,58.2,0.5343642611683849,0.83,0.4730290456431535,0.0,0.11576585059635906,1.1966767840208197,0.6883319444711539,0.44742777231675307,0.06725003678048053,0.5343642611683849,582,16.3,21.1,8.8,11.9,16.0,11.5,13.0,16.5,35.3,14.9,3.9,5.8
collect_one_size11_comp0.2_grid2_base_low,11,0.2,2,low,base,base,collect_one,6,3,3,3,15,12,15,1,1,1,1,1,10,3,2,5,1.2,0.2,59.4,0.4208754208754209,0.4224137931034483,0.4186991869918699,0.0,0.07477203647416412,1.1823712986267088,0.6111111111111112,0.4279775991845072,0.14425620077989593,0.4208754208754209,594,16.4,14.2,14.2,14.5,18.9,13.2,13.0,13.1,39.3,10.6,0.8,15.9
collect_one_size11_comp0.2_grid3_base_low,11,0.2,3,low,base,base,collect_one,4,10,6,6,3,3,7,1,1,1,1,1,10,1,9,0,0.9,0.5,42.9,0.4731934731934732,0.46774193548387094,0.48739495798319327,0.0,0.1439375,0.9867560551158242,0.6166666666666667,0.39841973947312237,0.06210131272631276,0.4731934731934732,429,8.6,10.5,5.5,18.3,17.7,6.3,10.0,7.9,23.7,7.2,0.4,11.4
collect_one_size11_comp0.2_grid4_base_low,11,0.2,4,low,base,base,collect_one,4,5,3,3,8,11,12,1,1,1,1,1,10,0,0,10,2.0,0.6,51.6,0.5387596899224806,0.43243243243243246,0.5679012345679012,0.0,0.17027752892870474,1.0807647057007546,0.6589807870503918,0.36204099771323744,0.14596740440565686,0.5387596899224806,516,16.8,10.4,15.5,8.8,17.3,10.5,11.1,11.5,25.7,11.0,2.8,6.5
collect_one_size11_comp0.2_grid5_base_low,11,0.2,5,low,base,base,collect_one,10,5,5,5,10,5,10,1,1,1,1,1,10,1,0,9,1.8,0.0,64.0,0.45625,0.47368421052631576,0.44660194174757284,0.0,0.0,1.2358519296656238,0.7205200520983573,0.42369548113458855,0.10460138051915055,0.45625,640,20.8,12.3,16.2,14.6,21.4,15.5,11.7,14.2,38.4,12.5,1.4,10.4
collect_one_size11_comp0.2_grid6_base_low,11,0.2,6,low,base,base,collect_one,8,6,6,6,10,4,10,1,1,1,1,1,10,0,3,7,1.7,0.0,64.0,0.4453125,0.4981949458483754,0.4049586776859504,0.0,0.0,1.2446131385310737,0.5834586539016274,0.4811651151050654,0.2150110445827149,0.4453125,640,19.3,17.4,7.5,19.6,18.6,14.9,15.2,14.0,39.1,11.7,1.3,13.7
collect_one_size11_comp0.2_grid7_base_low,11,0.2,7,low,base,base,collect_one,6,6,10,10,5,9,11,1,1,1,1,1,10,3,4,3,1.0,0.1,52.5,0.44,0.4017857142857143,0.5079365079365079,0.0,0.017741935483870968,1.0367370357469308,0.6069797170083454,0.4304789489516487,0.054568292293481396,0.44,525,15.5,8.2,12.6,16.2,16.9,11.8,10.2,12.6,33.9,11.0,2.7,14.8
collect_one_size11_comp0.2_grid8_base_low,11,0.2,8,low,base,base,collect_one,7,4,3,3,3,4,8,1,1,1,1,1,10,0,2,8,1.8,0.8,35.8,0.5195530726256983,0.6421052631578947,0.4752851711026616,0.0,0.3054891749003036,1.1975203948300899,0.6153846153846154,0.37771427437693395,0.2472220069955846,0.5195530726256983,358,12.6,8.3,9.5,5.2,9.7,8.6,8.5,7.6,20.8,5.9,2.5,5.7
collect_one_size11_comp0.2_grid9_base_low,11,0.2,9,low,base,base,collect_one,12,8,4,4,5,9,17,1,1,1,1,1,10,1,4,5,1.4,0.7,47.5,0.5452631578947369,0.6310160427807486,0.4895833333333333,0.0,0.2594371601083092,0.9840820567714886,0.5576923076923077,0.4019483136967237,0.12009862450699972,0.5452631578947369,475,13.7,7.5,16.9,9.4,17.6,8.7,11.6,8.6,25.3,7.1,2.3,10.1
collect_one_size11_comp0.4_grid0_base_low,11,0.4,0,low,base,base,collect_one,6,5,9,9,6,11,12,1,1,1,1,1,10,1,1,8,1.7,0.4,58.0,0.4810344827586207,0.3879310344827586,0.5431034482758621,0.0,0.10093282596057292,1.2851081796495858,0.5238095238095238,0.44131250078386536,0.06590908627890112,0.4810344827586207,580,17.2,14.5,13.8,12.5,20.3,10.3,11.9,14.5,35.5,11.7,4.1,14.3
collect_one_size11_comp0.4_grid1_base_low,11,0.4,1,low,base,base,collect_one,11,3,8,8,4,12,15,1,1,1,1,1,10,0,2,8,1.8,0.7,47.0,0.5085106382978724,0.75,0.45897435897435895,0.0,0.30746868055188237,1.1579001595920282,0.4543122549302414,0.37714602261449937,0.19286336756924996,0.5085106382978724,470,18.2,5.9,17.8,5.1,16.7,10.9,12.9,5.5,24.3,4.3,1.8,12.9
