trajectory_id,grid_id,grid_key,grid_size,density,reasoning_effort,transform_type,trajectory_category,start_to_coin_distance,coin_to_goal_distance,start_to_goal_via_coin_distance,start_to_goal_distance,coin_detour_distance,coin_reachable_from_start,goal_reachable_from_start,goal_reachable_from_coin,reached_goal,coin_collected,coin_collection_step,trajectory_length,spl,action_accuracy,action_accuracy_phase1,action_accuracy_phase2,num_actions_up,num_actions_down,num_actions_left,num_actions_right,num_steps_front,num_steps_left_turn,num_steps_right_turn,num_steps_back,num_cell_revisits,num_immediate_revisits,num_coin_oscillations,num_invalid_actions,invalid_action_rate,preferred_quadrant,quadrant_entropy,quadrant_count_ul,quadrant_count_ur,quadrant_count_dl,quadrant_count_dr,quadrant_count_midline,quadrant_fraction_ul,quadrant_fraction_ur,quadrant_fraction_dl,quadrant_fraction_dr,quadrant_fraction_midline,preferred_corner,corner_fraction_ul,corner_fraction_ur,corner_fraction_dl,corner_fraction_dr,max_corner_dwell_run,start_quadrant,terminal_quadrant,coin_quadrant,preferred_quadrant_contains_start,preferred_quadrant_contains_coin,preferred_corner_contains_start,preferred_corner_contains_goal,preferred_corner_contains_coin
4,1,size7_comp0.4_grid1_base_low,7,0.4,low,base,base,8,4,12,4,4,1,1,1,1,0,-1,5,0.0,0.8,0.8,0.0,4,0,1,0,2,1,1,0,1,0,0,1,0.2,UL,1.0,2,0,2,0,1,0.5,0.0,0.5,0.0,0.2,DL,0.0,0.0,0.2,0.0,1,dl,ul,ur,0,0,0,0,0
5,1,size7_comp0.4_grid1_base_low,7,0.4,low,base,base,8,4,12,4,4,1,1,1,1,0,-1,5,0.0,0.8,0.8,0.0,4,0,1,0,2,1,1,0,1,0,0,1,0.2,UL,1.0,2,0,2,0,1,0.5,0.0,0.5,0.0,0.2,DL,0.0,0.0,0.2,0.0,1,dl,ul,ur,0,0,0,0,0
6,1,size7_comp0.4_grid1_base_low,7,0.4,low,base,base,8,4,12,4,4,1,1,1,1,0,-1,5,0.0,0.8,0.8,0.0,4,0,1,0,2,1,1,0,1,0,0,1,0.2,DL,0.9182958340544896,1,0,2,0,2,0.3333333333333333,0.0,0.6666666666666666,0.0,0.4,DL,0.0,0.0,0.2,0.0,1,dl,ul,ur,1,0,0,0,0
7,1,size7_comp0.4_grid1_base_low,7,0.4,low,base,base,8,4,12,4,4,1,1,1,1,0,-1,4,0.0,1.0,1.0,0.0,4,0,0,0,3,0,0,0,0,0,0,0,0.0,DL,0.9182958340544896,1,0,2,0,1,0.3333333333333333,0.0,0.6666666666666666,0.0,0.25,DL,0.0,0.0,0.25,0.0,1,dl,ul,ur,1,0,0,0,0
8,1,size7_comp0.4_grid1_base_low,7,0.4,low,base,base,8,4,12,4,4,1,1,1,1,0,-1,6,0.0,0.6666666666666666,0.6666666666666666,0.0,4,0,2,0,2,1,2,0,2,0,0,2,0.3333333333333333,DL,0.9709505944546686,2,0,3,0,1,0.4,0.0,0.6,0.0,0.16666666666666666,DL,0.0,0.0,0.3333333333333333,0.0,2,dl,ul,ur,1,0,0,0,0
9,1,size7_comp0.4_grid1_base_low,7,0.4,low,base,base,8,4,12,4,4,1,1,1,1,0,-1,6,0.0,0.6666666666666666,0.6666666666666666,0.0,4,0,2,0,1,2,2,0,2,0,0,2,0.3333333333333333,DL,0.9709505944546686,2,0,3,0,1,0.4,0.0,0.6,0.0,0.16666666666666666,DL,0.0,0.0,0.16666666666666666,0.0,1,dl,ul,ur,1,0,0,0,0
0,2,size7_comp0.4_grid2_base_low,7,0.4,low,base,base,3,4,7,3,3,1,1,1,1,0,-1,7,0.0,0.2857142857142857,0.2857142857142857,0.0,4,1,0,2,1,2,2,1,3,1,0,2,0.2857142857142857,DL,-0.0,0,0,1,0,6,0.0,0.0,1.0,0.0,0.8571428571428571,,0.0,0.0,0.0,0.0,0,midline,ur,ul,0,0,0,0,0
1,2,size7_comp0.4_grid2_base_low,7,0.4,low,base,base,3,4,7,3,3,1,1,1,1,0,-1,3,0.0,0.3333333333333333,0.3333333333333333,0.0,1,0,0,2,1,1,0,0,0,0,0,0,0.0,UL,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0,midline,ur,ul,0,1,0,0,0
2,2,size7_comp0.4_grid2_base_low,7,0.4,low,base,base,3,4,7,3,3,1,1,1,1,0,-1,3,0.0,0.3333333333333333,0.3333333333333333,0.0,1,0,0,2,1,1,0,0,0,0,0,0,0.0,UL,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0,midline,ur,ul,0,1,0,0,0
3,2,size7_comp0.4_grid2_base_low,7,0.4,low,base,base,3,4,7,3,3,1,1,1,1,0,-1,5,0.0,0.4,0.4,0.0,1,0,1,3,2,1,0,1,1,1,0,0,0.0,UL,0.0,0,0,0,0,5,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0,midline,ur,ul,0,1,0,0,0
4,2,size7_comp0.4_grid2_base_low,7,0.4,low,base,base,3,4,7,3,3,1,1,1,1,0,-1,8,0.0,0.375,0.375,0.0,4,2,0,2,0,3,1,3,4,3,0,1,0.125,UL,-0.0,2,0,0,0,6,1.0,0.0,0.0,0.0,0.75,,0.0,0.0,0.0,0.0,0,midline,ur,ul,0,1,0,0,0
5,2,size7_comp0.4_grid2_base_low,7,0.4,low,base,base,3,4,7,3,3,1,1,1,1,0,-1,3,0.0,0.3333333333333333,0.3333333333333333,0.0,1,0,0,2,1,1,0,0,0,0,0,0,0.0,UL,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0,midline,ur,ul,0,1,0,0,0
6,2,size7_comp0.4_grid2_base_low,7,0.4,low,base,base,3,4,7,3,3,1,1,1,1,0,-1,15,0.0,0.4,0.4,0.0,5,4,2,4,3,2,6,3,8,2,0,2,0.13333333333333333,UL,0.5435644431995964,7,1,0,0,7,0.875,0.125,0.0,0.0,0.4666666666666667,,0.0,0.0,0.0,0.0,0,midline,ur,ul,0,1,0,0,0
7,2,size7_comp0.4_grid2_base_low,7,0.4,low,base,base,3,4,7,3,3,1,1,1,1,0,-1,3,0.0,0.3333333333333333,0.3333333333333333,0.0,1,0,0,2,1,1,0,0,0,0,0,0,0.0,UL,0.0,0,0,0,0,3,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0,midline,ur,ul,0,1,0,0,0
8,2,size7_comp0.4_grid2_base_low,7,0.4,low,base,base,3,4,7,3,3,1,1,1,1,0,-1,20,0.0,0.35,0.35,0.0,7,2,4,7,4,7,4,4,12,4,0,5,0.25,UR,0.9456603046006401,4,7,0,0,9,0.36363636363636365,0.6363636363636364,0.0,0.0,0.45,UR,0.0,0.2,0.0,0.0,4,midline,ur,ul,0,0,0,0,0
9,2,size7_comp0.4_grid2_base_low,7,0.4,low,base,base,3,4,7,3,3,1,1,1,1,0,-1,12,0.0,0.4166666666666667,0.4166666666666667,0.0,5,3,1,3,0,4,2,5,8,5,0,1,0.08333333333333333,UL,-0.0,3,0,0,0,9,1.0,0.0,0.0,0.0,0.75,,0.0,0.0,0.0,0.0,0,midline,ur,ul,0,1,0,0,0
0,3,size7_comp0.4_grid3_base_low,7,0.4,low,base,base,3,4,7,3,2,1,1,1,1,0,-1,5,0.0,0.4,0.4,0.0,2,1,0,2,2,0,2,0,0,0,0,0,0.0,DL,-0.0,0,0,2,0,3,0.0,0.0,1.0,0.0,0.6,DL,0.0,0.0,0.2,0.0,1,dl,midline,ul,1,0,0,0,0
